TerminalID,ProjectID,ComboID,Wiki,Name,Facility,Country,Status,OtherNames,Parent,StartYear1,StartYear2,StartYear3,StopYear,Capacity,CapacityUnits,CapacityInMtpa,Region,Location,Prefecture/District,State/Province,Latitude,Longitude,Accuracy,FID,FIDYear,Floating
T0721,0,T072100,https://www.gem.wiki/Stade_LNG_Terminal,Stade LNG Terminal,Import,Germany,Proposed,,Hanseatic Energy Hub,2026,,,,12,bcm/y,8.823530235,Europe,Stade,,Lower Saxony,53.652459,9.510382,approximate,Pre-FID,,
T0722,0,T072200,https://www.gem.wiki/Rostock_LNG_Terminal,Rostock LNG Terminal,Import,Germany,Cancelled,,Novatek; Fluxys,2023,,,,0.3,mtpa,0.3,Europe,Rostock,,,54.181909,12.088052,approximate,Pre-FID,,
T0723,0,T072300,https://www.gem.wiki/Cork_LNG_Terminal,Cork FSRU Terminal,Import,Ireland,Cancelled,Inisfree LNG Terminal,NextDecade,,,,2021,4,bcm/y,2.941176745,Europe,Cork,,,51.831398,-8.322984,approximate,,,yes
T0724,0,T072400,https://www.gem.wiki/HIGAS_LNG_Terminal,HIGAS LNG Terminal,Import,Italy,Operating,Santa Giusta LNG Terminal,Stolt-Nielsen Limited; Gas and Heat; CPL Concordia,2021,,,,0.3,mtpa,0.3,Europe,Oristano,,Sardinia,39.863873,8.554238,approximate,FID,,
T0725,0,T072500,https://www.gem.wiki/Skulte_LNG_Terminal,Skulte LNG Terminal,Import,Latvia,Proposed,,Skulte LNG Terminal,2024,,,,6.2,bcm/y,4.558823955,Europe,Skulte,Skulte Parish,,57.315,24.367,approximate,Pre-FID,,yes
T0726,1,T072601,https://www.gem.wiki/Tjelbergodden_LNG_Terminal,Tjelbergodden LNG Terminal,Export,Norway,Operating,,Petoro (18.1%); Equinor (5.%); ConocoPhillips (18.1%); Eni S.p.A. (5%),1997,,,,0.012,mtpa,0.012,Europe,Kj�rsvikbugen,,,63.408456,8.693715,approximate,,,
T0727,1,T072701,https://www.gem.wiki/Snurrevarden_LNG_Terminal,Snurrevarden LNG Terminal,Export,Norway,Operating,Karmoy LNG Terminal,Molgas; Total S.A.; Equinor,2003,,,,0.02,mtpa,0.02,Europe,,,,59.313521,5.285961,approximate,,,
T0728,1,T072801,https://www.gem.wiki/Kollsnes_LNG_Terminal,Kollsnes LNG Terminal,Export,Norway,Operating,,Molgas; Total S.A.; Equinor,2003,,,,0.04,mtpa,0.04,Europe,Kollsnesvegen,,,60.548447,4.834402,approximate,,,
T0728,2,T072802,https://www.gem.wiki/Kollsnes_LNG_Terminal,Kollsnes LNG Terminal Expansion,Export,Norway,Operating,,Molgas; Total S.A.; Equinor,2007,,,,0.08,mtpa,0.08,Europe,Kollsnesvegen,,,60.548447,4.834402,approximate,,,
T0730,0,T073000,https://www.gem.wiki/Fredrikstad_LNG_Terminal,Fredrikstad LNG Terminal,Import,Norway,Operating,�ra LNG Terminal,Gasum (100%),2011,,,,0.1,mtpa,0.1,Europe,�ra,,,59.1875329,10.9595717,exact,,,
T0731,0,T073100,https://www.gem.wiki/Polish_Baltic_Sea_Coast_Terminal,Polish Baltic Sea Coast Terminal,Import,Poland,Proposed,LNG Gdansk,--,2025,,,,6.1,bcm/y,4.485294536,Europe,Gdansk,,,54.407321,18.716445,approximate,Pre-FID,,
T0732,0,T073200,https://www.gem.wiki/G%C3%A4vle_LNG_terminal,G�vle LNG Terminal,Import,Sweden,Cancelled,,Gasum (100%),,,,,0.3,bcm/y,0.220588256,Europe,G�vle,,,60.681256,17.182174,approximate,,,
T0733,0,T073300,https://www.gem.wiki/Mosjoen_LNG_Terminal,Mosjoen LNG Terminal,Import,Norway,Operating,,Molgas; Total S.A.; Equinor,2007,,,,0.4,mtpa,0.4,Europe,Mosjoen,,,65.836962,13.187084,approximate,,,
T0807,0,T080700,https://www.gem.wiki/Gulf_of_Saros_FSRU,Gulf of Saros FSRU,Import,Turkey,Construction,,BOTA? (100%),2022,,,,5.4,mtpa,5.4,Europe,,,,40.594649,26.412034,approximate,FID,,yes
T0828,0,T082800,https://www.gem.wiki/Hoegh_LNG_FSRU_Terminal,Hoegh LNG FSRU Terminal,Import,Cyprus,Cancelled,,Ho?egh LNG,2021,,,2021,,,--,Europe,Vasiliko,,,34.710168,33.323549,approximate,,,yes
T0830,0,T083000,https://www.gem.wiki/Delimara_Onshore_LNG_Terminal,Delimara Onshore LNG Terminal,Import,Malta,Proposed,,--,,,,,,,--,Europe,Delimara Peninsula,,,35.831773,14.556062,approximate,Pre-FID,,
T0831,0,T083100,https://www.gem.wiki/Marshal_Vasilevskiy_FSRU_Terminal,Marshal Vasilevskiy FSRU Terminal,Import,Netherlands,Idle,,Gazprom,2020,,,,,,--,Europe,Rotterdam,,,51.953562,4.141755,approximate,,,yes
T0855,0,T085500,https://www.gem.wiki/Predator_FSRU_Terminal,Predator FSRU Terminal,Import,Ireland,Proposed,,Predator Oil & Gas,2024,,,,2.4,mtpa,2.4,Europe,,,,51.088313,-9.246541,approximate,Pre-FID,,yes
T0856,0,T085600,https://www.gem.wiki/Puerto_de_la_Luz_LNG_Terminal,Puerto de la Luz LNG Terminal,Import,Spain,Proposed,,Totisa Holdings,2023,,,,,,--,Europe,Las Palmas,Gran Canaria,Canarias,28.139483,-15.423414,approximate,Pre-FID,,
T0924,0,T092400,https://www.gem.wiki/Port_of_Vlora_LNG_Terminal,Port of Vlora LNG Terminal,Import,Albania,Proposed,,Excelerate Energy; ExxonMobil; Ministry of Infrastructure and Energy,2023,,,,,,--,Europe,Port of Vlora,,,40.449271,19.480761,approximate,Pre-FID,,
T0992,0,T099200,https://www.gem.wiki/Dioriga_FSRU_Terminal,Dioriga FSRU Terminal,Import,Greece,Proposed,,Dioriga Gas,2023,,,,2.6,bcm/y,1.911764884,Europe,Gulf of Corinth,,,37.91092,23.063539,approximate,Pre-FID,,yes
T0997,0,T099700,https://www.gem.wiki/Eemshaven_FSRU_Terminal,Eemshaven FSRU Terminal,Import,Netherlands,Proposed,,Gasunie (100%),2022,,,,4,bcm/y,2.941176745,Europe,Eemshaven,,,53.4500166,6.805397825,approximate,FID,2017,yes
T1000,0,T100000,https://www.gem.wiki/Uniper_Wilhelmshaven_LNG_Terminal,Wilhelmshaven Uniper LNG Terminal,Import,Germany,Proposed,,Uniper (100%),2025,,,,20,bcm/y,14.70588373,Europe,Wilhelmshaven Port,,Lower Saxony,53.516667,8.133333,approximate,,,
T1001,0,T100100,https://www.gem.wiki/TES_Wilhelmshaven_LNG_Terminal,TES Wilhelmshaven LNG Terminal,Import,Germany,Proposed,,Tree Energy Solutions (TES) (100%),2025,,,,10,bcm/y,7.352941863,Europe,Wilhelmshaven Port,,Lower Saxony,53.516667,8.133333,approximate,,,
