Unit name,Unit name local script,Fuel type,Unit type,Country,"Subnational unit (province, state)",Latitude,Longitude,Location accuracy,Status,Status year,Discovery year,Production start year,Operator,Owner,Parent,Basin,Concession / block,Project or complex,GEM Unit ID,Government unit ID,Wiki URL
Indefatigable (Perenco),,oil and gas,field,United Kingdom,,53.34,2.6006,exact,operating,2019,,,Perenco Oil & Gas,,,,,,OG0002073,,https://www.gem.wiki/Indefatigable_(Perenco)_Oil_and_Gas_Field_(United_Kingdom)
Jackdaw,,oil and gas,field,United Kingdom,,56.954,1.858,approximate,discovered,2019,2005,,,BG International [74%]; ONE-Dyas E&P [26%],Royal Dutch Shell [74%]; ONE-Dyas B.V. [26%],,,,OG0002076,,https://www.gem.wiki/Jackdaw_Gas_and_Condensate_Field
Jade,,oil and gas,field,United Kingdom,,56.8356,2.2577,exact,operating,2019,1997,2002,Chrysaor Holdings Limited,Chrysaor Holdings Limited [67.5%]; other [32.5%],Harbour Energy PLC [67.5%],,,J-Area,OG0002077,,https://www.gem.wiki/Jade_Oil_and_Gas_Field_(United_Kingdom)
Jasmine,,oil and gas,field,United Kingdom,,56.757,2.1778,exact,operating,2019,2006,2013,Chrysaor Holdings Limited,Chrysaor Holdings Limited [67%]; other [33%],Harbour Energy PLC [67%],,,J-Area,OG0002078,,https://www.gem.wiki/Jasmine_Oil_and_Gas_Field_(United_Kingdom)
Joanne,,oil and gas,field,United Kingdom,,56.6872,2.2875,exact,operating,2019,1981,1995,Chrysaor Holdings Limited,Chrysaor Holdings Limited [67%]; other [33%],Harbour Energy PLC [67%],,,J-Area,OG0002079,,https://www.gem.wiki/Joanne_Oil_and_Gas_Field_(United_Kingdom)
Judy,,oil and gas,field,United Kingdom,,56.6994,2.3163,exact,operating,2019,1985,1995,Chrysaor Holdings Limited,,,,,J-Area,OG0002081,,https://www.gem.wiki/Judy_Oil_and_Gas_Field_(United_Kingdom)
Jura,,oil and gas,field,United Kingdom,,60.561,1.8987,exact,operating,2019,2006,2008,Total Upstream UK Limited,,,,,,OG0002082,,https://www.gem.wiki/Jura_Oil_and_Gas_Field_(United_Kingdom)
Kilmar,,oil and gas,field,United Kingdom,,54.2982,1.3228,exact,operating,2019,1992,2006,Alpha Petroleum UK Holdings,,,,,,OG0002088,,https://www.gem.wiki/Kilmar_Oil_and_Gas_Field_(United_Kingdom)
Kinnoull,,oil and gas,field,United Kingdom,,58.2339,1.5745,exact,operating,2019,2008,2014,BP Exploration Operating Company,,,,,,OG0002090,,https://www.gem.wiki/Kinnoull_Oil_and_Gas_Field_(United_Kingdom)
Kraken,,oil and gas,field,United Kingdom,,59.9143,1.2505,exact,operating,2019,1995,2016,Enquest PLC,Enquest Plc [unknown %]; Cairn Energy [unknown %],Enquest PLC [unknown %]; Cairn Energy PLC [unknown %],,,,OG0002095,,https://www.gem.wiki/Kraken_Oil_and_Gas_Field_(United_Kingdom)
